COUNTY,CANDIDATE,VOTES,TOTAL,PCT
ANDERSON,David Alameel,209,628,33
ANDREWS,David Alameel,25,67,37
ANGELINA,David Alameel,251,866,29
ARANSAS,David Alameel,121,281,43
ARCHER,David Alameel,19,54,35
ARMSTRONG,David Alameel,0,0,0
ATASCOSA,David Alameel,497,798,62
AUSTIN,David Alameel,80,167,48
BAILEY,David Alameel,9,30,30
BANDERA,David Alameel,97,226,43
BASTROP,David Alameel,614,1613,38
BAYLOR,David Alameel,11,28,39
BEE,David Alameel,393,1015,39
BELL,David Alameel,1157,2504,46
BEXAR,David Alameel,21293,39571,54
BLANCO,David Alameel,67,152,44
BORDEN,David Alameel,0,0,0
BOSQUE,David Alameel,133,249,53
BOWIE,David Alameel,71,276,26
BRAZORIA,David Alameel,1028,2732,38
BRAZOS,David Alameel,390,1759,22
BREWSTER,David Alameel,327,1062,31
BRISCOE,David Alameel,3,14,21
BROOKS,David Alameel,846,1503,56
BROWN,David Alameel,65,186,35
BURLESON,David Alameel,45,207,22
BURNET,David Alameel,166,452,37
CALDWELL,David Alameel,634,1691,37
CALHOUN,David Alameel,477,1451,33
CALLAHAN,David Alameel,0,0,0
CAMERON,David Alameel,7660,14505,53
CAMP,David Alameel,63,182,35
CARSON,David Alameel,16,53,30
CASS,David Alameel,139,581,24
CASTRO,David Alameel,17,74,23
CHAMBERS,David Alameel,123,294,42
CHEROKEE,David Alameel,166,409,41
CHILDRESS,David Alameel,20,45,44
CLAY,David Alameel,38,86,44
COCHRAN,David Alameel,0,0,0
COKE,David Alameel,7,20,35
COLEMAN,David Alameel,30,64,47
COLLIN,David Alameel,3573,8481,42
COLLINGSWORTH,David Alameel,0,0,0
COLORADO,David Alameel,111,223,50
COMAL,David Alameel,559,1545,36
COMANCHE,David Alameel,78,156,50
CONCHO,David Alameel,4,21,19
COOKE,David Alameel,117,252,46
CORYELL,David Alameel,158,366,43
COTTLE,David Alameel,13,37,35
CRANE,David Alameel,31,84,37
CROCKETT,David Alameel,118,429,28
CROSBY,David Alameel,74,339,22
CULBERSON,David Alameel,80,380,21
DALLAM,David Alameel,0,0,0
DALLAS,David Alameel,29968,58806,51
DAWSON,David Alameel,111,269,41
DEAF SMITH,David Alameel,18,56,32
DELTA,David Alameel,26,80,33
DENTON,David Alameel,3223,6742,48
DE WITT,David Alameel,63,150,42
DICKENS,David Alameel,0,0,0
DIMMIT,David Alameel,1151,2003,57
DONLEY,David Alameel,9,19,47
DUVAL,David Alameel,1430,2489,57
EASTLAND,David Alameel,33,129,26
ECTOR,David Alameel,440,1240,35
EDWARDS,David Alameel,31,95,33
ELLIS,David Alameel,990,1956,51
EL PASO,David Alameel,9582,28639,33
ERATH,David Alameel,100,235,43
FALLS,David Alameel,114,222,51
FANNIN,David Alameel,164,386,42
FAYETTE,David Alameel,107,308,35
FISHER,David Alameel,116,437,27
FLOYD,David Alameel,15,29,52
FOARD,David Alameel,28,77,36
FORT BEND,David Alameel,3714,7981,47
FRANKLIN,David Alameel,36,78,46
FREESTONE,David Alameel,130,316,41
FRIO,David Alameel,1043,1653,63
GAINES,David Alameel,18,64,28
GALVESTON,David Alameel,1809,3958,46
GARZA,David Alameel,7,28,25
GILLESPIE,David Alameel,155,300,52
GLASSCOCK,David Alameel,0,0,0
GOLIAD,David Alameel,124,301,41
GONZALES,David Alameel,91,171,53
GRAY,David Alameel,26,77,34
GRAYSON,David Alameel,376,1049,36
GREGG,David Alameel,392,1728,23
GRIMES,David Alameel,81,219,37
GUADALUPE,David Alameel,639,1609,40
HALE,David Alameel,80,218,37
HALL,David Alameel,26,67,39
HAMILTON,David Alameel,71,133,53
HANSFORD,David Alameel,0,0,0
HARDEMAN,David Alameel,32,70,46
HARDIN,David Alameel,163,444,37
HARRIS,David Alameel,25386,48547,52
HARRISON,David Alameel,238,1125,21
HARTLEY,David Alameel,0,0,0
HASKELL,David Alameel,62,179,35
HAYS,David Alameel,1028,2860,36
HEMPHILL,David Alameel,10,17,59
HENDERSON,David Alameel,476,914,52
HIDALGO,David Alameel,18923,33564,56
HILL,David Alameel,205,412,50
HOCKLEY,David Alameel,33,119,28
HOOD,David Alameel,298,582,51
HOPKINS,David Alameel,202,416,49
HOUSTON,David Alameel,83,228,36
HOWARD,David Alameel,88,208,42
HUDSPETH,David Alameel,67,342,20
HUNT,David Alameel,316,669,47
HUTCHINSON,David Alameel,38,140,27
IRION,David Alameel,9,19,47
JACK,David Alameel,24,69,35
JACKSON,David Alameel,59,124,48
JASPER,David Alameel,268,745,36
JEFF DAVIS,David Alameel,46,248,19
JEFFERSON,David Alameel,2792,9550,29
JIM HOGG,David Alameel,1201,1628,74
JIM WELLS,David Alameel,2359,3999,59
JOHNSON,David Alameel,550,1204,46
JONES,David Alameel,41,134,31
KARNES,David Alameel,468,1228,38
KAUFMAN,David Alameel,514,1067,48
KENDALL,David Alameel,105,314,33
KENEDY,David Alameel,28,56,50
KENT,David Alameel,45,129,35
KERR,David Alameel,192,633,30
KIMBLE,David Alameel,0,0,0
KING,David Alameel,0,0,0
KINNEY,David Alameel,163,338,48
KLEBERG,David Alameel,667,1759,38
KNOX,David Alameel,25,61,41
LAMAR,David Alameel,303,557,54
LAMB,David Alameel,29,89,33
LAMPASAS,David Alameel,71,162,44
LA SALLE,David Alameel,315,751,42
LAVACA,David Alameel,76,235,32
LEE,David Alameel,94,265,35
LEON,David Alameel,38,129,29
LIBERTY,David Alameel,187,530,35
LIMESTONE,David Alameel,91,302,30
LIPSCOMB,David Alameel,6,14,43
LIVE OAK,David Alameel,40,110,36
LLANO,David Alameel,188,409,46
LOVING,David Alameel,2,11,18
LUBBOCK,David Alameel,1068,3748,28
LYNN,David Alameel,0,0,0
MADISON,David Alameel,17,102,17
MARION,David Alameel,76,220,35
MARTIN,David Alameel,9,27,33
MASON,David Alameel,21,63,33
MATAGORDA,David Alameel,473,1164,41
MAVERICK,David Alameel,2698,3863,70
MCCULLOCH,David Alameel,0,0,0
MCLENNAN,David Alameel,829,2092,40
MCMULLEN,David Alameel,0,0,0
MEDINA,David Alameel,241,477,51
MENARD,David Alameel,0,16,0
MIDLAND,David Alameel,333,911,37
MILAM,David Alameel,94,368,26
MILLS,David Alameel,0,0,0
MITCHELL,David Alameel,23,85,27
MONTAGUE,David Alameel,30,89,34
MONTGOMERY,David Alameel,1066,2310,46
MOORE,David Alameel,0,0,0
MORRIS,David Alameel,172,764,23
MOTLEY,David Alameel,7,14,50
NACOGDOCHES,David Alameel,254,622,41
NAVARRO,David Alameel,216,527,41
NEWTON,David Alameel,322,938,34
NOLAN,David Alameel,77,305,25
NUECES,David Alameel,3844,6871,56
OCHILTREE,David Alameel,3,17,18
OLDHAM,David Alameel,0,0,0
ORANGE,David Alameel,504,1255,40
PALO PINTO,David Alameel,179,324,55
PANOLA,David Alameel,61,223,27
PARKER,David Alameel,580,1262,46
PARMER,David Alameel,11,29,38
PECOS,David Alameel,192,502,38
POLK,David Alameel,180,464,39
POTTER,David Alameel,265,768,35
PRESIDIO,David Alameel,210,773,27
RAINS,David Alameel,49,98,50
RANDALL,David Alameel,331,883,37
REAGAN,David Alameel,6,10,60
REAL,David Alameel,8,14,57
RED RIVER,David Alameel,91,262,35
REEVES,David Alameel,278,1113,25
REFUGIO,David Alameel,85,232,37
ROBERTS,David Alameel,0,0,0
ROBERTSON,David Alameel,314,1353,23
ROCKWALL,David Alameel,434,911,48
RUNNELS,David Alameel,15,41,37
RUSK,David Alameel,86,329,26
SABINE,David Alameel,54,143,38
SAN AUGUSTINE,David Alameel,120,315,38
SAN JACINTO,David Alameel,209,577,36
SAN PATRICIO,David Alameel,596,1442,41
SAN SABA,David Alameel,0,0,0
SCHLEICHER,David Alameel,27,136,20
SCURRY,David Alameel,35,94,37
SHACKELFORD,David Alameel,0,0,0
SHELBY,David Alameel,78,403,19
SHERMAN,David Alameel,0,12,0
SMITH,David Alameel,712,1984,36
SOMERVELL,David Alameel,21,42,50
STARR,David Alameel,3630,5201,70
STEPHENS,David Alameel,12,48,25
STERLING,David Alameel,0,2,0
STONEWALL,David Alameel,47,156,30
SUTTON,David Alameel,11,26,42
SWISHER,David Alameel,122,400,31
TARRANT,David Alameel,18215,36773,50
TAYLOR,David Alameel,286,902,32
TERRELL,David Alameel,23,83,28
TERRY,David Alameel,22,99,22
THROCKMORTON,David Alameel,0,0,0
TITUS,David Alameel,159,407,39
TOM GREEN,David Alameel,399,870,46
TRAVIS,David Alameel,16206,40393,40
TRINITY,David Alameel,157,354,44
TYLER,David Alameel,101,315,32
UPSHUR,David Alameel,114,259,44
UPTON,David Alameel,80,297,27
UVALDE,David Alameel,662,1515,44
VAL VERDE,David Alameel,2509,5113,49
VAN ZANDT,David Alameel,187,432,43
VICTORIA,David Alameel,583,1273,46
WALKER,David Alameel,339,714,47
WALLER,David Alameel,247,785,31
WARD,David Alameel,170,483,35
WASHINGTON,David Alameel,142,334,43
WEBB,David Alameel,11371,21962,52
WHARTON,David Alameel,186,431,43
WHEELER,David Alameel,14,36,39
WICHITA,David Alameel,467,1198,39
WILBARGER,David Alameel,80,425,19
WILLACY,David Alameel,1214,2334,52
WILLIAMSON,David Alameel,2976,6680,45
WILSON,David Alameel,689,1116,62
WINKLER,David Alameel,7,23,30
WISE,David Alameel,267,575,46
WOOD,David Alameel,180,385,47
YOAKUM,David Alameel,0,0,0
YOUNG,David Alameel,68,144,47
ZAPATA,David Alameel,894,1458,61
ZAVALA,David Alameel,755,1158,65
ANDERSON,Kesha Rogers,175,628,28
ANDREWS,Kesha Rogers,17,67,25
ANGELINA,Kesha Rogers,207,866,24
ARANSAS,Kesha Rogers,64,281,23
ARCHER,Kesha Rogers,17,54,31
ARMSTRONG,Kesha Rogers,0,0,0
ATASCOSA,Kesha Rogers,131,798,16
AUSTIN,Kesha Rogers,34,167,20
BAILEY,Kesha Rogers,9,30,30
BANDERA,Kesha Rogers,37,226,16
BASTROP,Kesha Rogers,312,1613,19
BAYLOR,Kesha Rogers,8,28,29
BEE,Kesha Rogers,261,1015,26
BELL,Kesha Rogers,674,2504,27
BEXAR,Kesha Rogers,6692,39571,17
BLANCO,Kesha Rogers,27,152,18
BORDEN,Kesha Rogers,0,0,0
BOSQUE,Kesha Rogers,55,249,22
BOWIE,Kesha Rogers,105,276,38
BRAZORIA,Kesha Rogers,651,2732,24
BRAZOS,Kesha Rogers,604,1759,34
BREWSTER,Kesha Rogers,329,1062,31
BRISCOE,Kesha Rogers,4,14,29
BROOKS,Kesha Rogers,262,1503,17
BROWN,Kesha Rogers,54,186,29
BURLESON,Kesha Rogers,76,207,37
BURNET,Kesha Rogers,122,452,27
CALDWELL,Kesha Rogers,315,1691,19
CALHOUN,Kesha Rogers,430,1451,30
CALLAHAN,Kesha Rogers,0,0,0
CAMERON,Kesha Rogers,2646,14505,18
CAMP,Kesha Rogers,51,182,28
CARSON,Kesha Rogers,16,53,30
CASS,Kesha Rogers,183,581,31
CASTRO,Kesha Rogers,25,74,34
CHAMBERS,Kesha Rogers,48,294,16
CHEROKEE,Kesha Rogers,121,409,30
CHILDRESS,Kesha Rogers,13,45,29
CLAY,Kesha Rogers,15,86,17
COCHRAN,Kesha Rogers,0,0,0
COKE,Kesha Rogers,3,20,15
COLEMAN,Kesha Rogers,8,64,13
COLLIN,Kesha Rogers,2251,8481,27
COLLINGSWORTH,Kesha Rogers,0,0,0
COLORADO,Kesha Rogers,43,223,19
COMAL,Kesha Rogers,322,1545,21
COMANCHE,Kesha Rogers,23,156,15
CONCHO,Kesha Rogers,9,21,43
COOKE,Kesha Rogers,51,252,20
CORYELL,Kesha Rogers,98,366,27
COTTLE,Kesha Rogers,10,37,27
CRANE,Kesha Rogers,27,84,32
CROCKETT,Kesha Rogers,103,429,24
CROSBY,Kesha Rogers,95,339,28
CULBERSON,Kesha Rogers,93,380,24
DALLAM,Kesha Rogers,0,0,0
DALLAS,Kesha Rogers,16991,58806,29
DAWSON,Kesha Rogers,63,269,23
DEAF SMITH,Kesha Rogers,19,56,34
DELTA,Kesha Rogers,18,80,23
DENTON,Kesha Rogers,1628,6742,24
DE WITT,Kesha Rogers,27,150,18
DICKENS,Kesha Rogers,0,0,0
DIMMIT,Kesha Rogers,437,2003,22
DONLEY,Kesha Rogers,4,19,21
DUVAL,Kesha Rogers,403,2489,16
EASTLAND,Kesha Rogers,41,129,32
ECTOR,Kesha Rogers,319,1240,26
EDWARDS,Kesha Rogers,27,95,28
ELLIS,Kesha Rogers,592,1956,30
EL PASO,Kesha Rogers,2538,28639,9
ERATH,Kesha Rogers,57,235,24
FALLS,Kesha Rogers,62,222,28
FANNIN,Kesha Rogers,68,386,18
FAYETTE,Kesha Rogers,55,308,18
FISHER,Kesha Rogers,130,437,30
FLOYD,Kesha Rogers,9,29,31
FOARD,Kesha Rogers,16,77,21
FORT BEND,Kesha Rogers,2506,7981,31
FRANKLIN,Kesha Rogers,14,78,18
FREESTONE,Kesha Rogers,76,316,24
FRIO,Kesha Rogers,253,1653,15
GAINES,Kesha Rogers,22,64,34
GALVESTON,Kesha Rogers,858,3958,22
GARZA,Kesha Rogers,7,28,25
GILLESPIE,Kesha Rogers,34,300,11
GLASSCOCK,Kesha Rogers,0,0,0
GOLIAD,Kesha Rogers,73,301,24
GONZALES,Kesha Rogers,33,171,19
GRAY,Kesha Rogers,33,77,43
GRAYSON,Kesha Rogers,246,1049,23
GREGG,Kesha Rogers,850,1728,49
GRIMES,Kesha Rogers,33,219,15
GUADALUPE,Kesha Rogers,360,1609,22
HALE,Kesha Rogers,80,218,37
HALL,Kesha Rogers,9,67,13
HAMILTON,Kesha Rogers,27,133,20
HANSFORD,Kesha Rogers,0,0,0
HARDEMAN,Kesha Rogers,20,70,29
HARDIN,Kesha Rogers,96,444,22
HARRIS,Kesha Rogers,10703,48547,22
HARRISON,Kesha Rogers,469,1125,42
HARTLEY,Kesha Rogers,0,0,0
HASKELL,Kesha Rogers,36,179,20
HAYS,Kesha Rogers,450,2860,16
HEMPHILL,Kesha Rogers,1,17,6
HENDERSON,Kesha Rogers,194,914,21
HIDALGO,Kesha Rogers,7154,33564,21
HILL,Kesha Rogers,61,412,15
HOCKLEY,Kesha Rogers,37,119,31
HOOD,Kesha Rogers,100,582,17
HOPKINS,Kesha Rogers,110,416,26
HOUSTON,Kesha Rogers,59,228,26
HOWARD,Kesha Rogers,62,208,30
HUDSPETH,Kesha Rogers,102,342,30
HUNT,Kesha Rogers,138,669,21
HUTCHINSON,Kesha Rogers,49,140,35
IRION,Kesha Rogers,5,19,26
JACK,Kesha Rogers,27,69,39
JACKSON,Kesha Rogers,23,124,19
JASPER,Kesha Rogers,231,745,31
JEFF DAVIS,Kesha Rogers,79,248,32
JEFFERSON,Kesha Rogers,3722,9550,39
JIM HOGG,Kesha Rogers,207,1628,13
JIM WELLS,Kesha Rogers,548,3999,14
JOHNSON,Kesha Rogers,277,1204,23
JONES,Kesha Rogers,36,134,27
KARNES,Kesha Rogers,303,1228,25
KAUFMAN,Kesha Rogers,273,1067,26
KENDALL,Kesha Rogers,50,314,16
KENEDY,Kesha Rogers,5,56,9
KENT,Kesha Rogers,28,129,22
KERR,Kesha Rogers,111,633,18
KIMBLE,Kesha Rogers,0,0,0
KING,Kesha Rogers,0,0,0
KINNEY,Kesha Rogers,61,338,18
KLEBERG,Kesha Rogers,437,1759,25
KNOX,Kesha Rogers,6,61,10
LAMAR,Kesha Rogers,128,557,23
LAMB,Kesha Rogers,23,89,26
LAMPASAS,Kesha Rogers,31,162,19
LA SALLE,Kesha Rogers,165,751,22
LAVACA,Kesha Rogers,44,235,19
LEE,Kesha Rogers,49,265,18
LEON,Kesha Rogers,27,129,21
LIBERTY,Kesha Rogers,151,530,28
LIMESTONE,Kesha Rogers,58,302,19
LIPSCOMB,Kesha Rogers,0,14,0
LIVE OAK,Kesha Rogers,29,110,26
LLANO,Kesha Rogers,82,409,20
LOVING,Kesha Rogers,2,11,18
LUBBOCK,Kesha Rogers,767,3748,20
LYNN,Kesha Rogers,0,0,0
MADISON,Kesha Rogers,41,102,40
MARION,Kesha Rogers,66,220,30
MARTIN,Kesha Rogers,9,27,33
MASON,Kesha Rogers,12,63,19
MATAGORDA,Kesha Rogers,179,1164,15
MAVERICK,Kesha Rogers,555,3863,14
MCCULLOCH,Kesha Rogers,0,0,0
MCLENNAN,Kesha Rogers,662,2092,32
MCMULLEN,Kesha Rogers,0,0,0
MEDINA,Kesha Rogers,67,477,14
MENARD,Kesha Rogers,4,16,25
MIDLAND,Kesha Rogers,288,911,32
MILAM,Kesha Rogers,90,368,24
MILLS,Kesha Rogers,0,0,0
MITCHELL,Kesha Rogers,31,85,36
MONTAGUE,Kesha Rogers,16,89,18
MONTGOMERY,Kesha Rogers,362,2310,16
MOORE,Kesha Rogers,0,0,0
MORRIS,Kesha Rogers,288,764,38
MOTLEY,Kesha Rogers,1,14,7
NACOGDOCHES,Kesha Rogers,147,622,24
NAVARRO,Kesha Rogers,131,527,25
NEWTON,Kesha Rogers,250,938,27
NOLAN,Kesha Rogers,83,305,27
NUECES,Kesha Rogers,1108,6871,16
OCHILTREE,Kesha Rogers,9,17,53
OLDHAM,Kesha Rogers,0,0,0
ORANGE,Kesha Rogers,399,1255,32
PALO PINTO,Kesha Rogers,75,324,23
PANOLA,Kesha Rogers,63,223,28
PARKER,Kesha Rogers,252,1262,20
PARMER,Kesha Rogers,6,29,21
PECOS,Kesha Rogers,146,502,29
POLK,Kesha Rogers,112,464,24
POTTER,Kesha Rogers,236,768,31
PRESIDIO,Kesha Rogers,273,773,35
RAINS,Kesha Rogers,17,98,17
RANDALL,Kesha Rogers,177,883,20
REAGAN,Kesha Rogers,2,10,20
REAL,Kesha Rogers,3,14,21
RED RIVER,Kesha Rogers,105,262,40
REEVES,Kesha Rogers,319,1113,29
REFUGIO,Kesha Rogers,34,232,15
ROBERTS,Kesha Rogers,0,0,0
ROBERTSON,Kesha Rogers,347,1353,26
ROCKWALL,Kesha Rogers,204,911,22
RUNNELS,Kesha Rogers,5,41,12
RUSK,Kesha Rogers,85,329,26
SABINE,Kesha Rogers,38,143,27
SAN AUGUSTINE,Kesha Rogers,81,315,26
SAN JACINTO,Kesha Rogers,154,577,27
SAN PATRICIO,Kesha Rogers,244,1442,17
SAN SABA,Kesha Rogers,0,0,0
SCHLEICHER,Kesha Rogers,34,136,25
SCURRY,Kesha Rogers,26,94,28
SHACKELFORD,Kesha Rogers,0,0,0
SHELBY,Kesha Rogers,115,403,29
SHERMAN,Kesha Rogers,5,12,42
SMITH,Kesha Rogers,632,1984,32
SOMERVELL,Kesha Rogers,3,42,7
STARR,Kesha Rogers,556,5201,11
STEPHENS,Kesha Rogers,10,48,21
STERLING,Kesha Rogers,0,2,0
STONEWALL,Kesha Rogers,49,156,31
SUTTON,Kesha Rogers,3,26,12
SWISHER,Kesha Rogers,123,400,31
TARRANT,Kesha Rogers,10932,36773,30
TAYLOR,Kesha Rogers,194,902,22
TERRELL,Kesha Rogers,27,83,33
TERRY,Kesha Rogers,36,99,36
THROCKMORTON,Kesha Rogers,0,0,0
TITUS,Kesha Rogers,112,407,28
TOM GREEN,Kesha Rogers,154,870,18
TRAVIS,Kesha Rogers,4640,40393,11
TRINITY,Kesha Rogers,93,354,26
TYLER,Kesha Rogers,91,315,29
UPSHUR,Kesha Rogers,62,259,24
UPTON,Kesha Rogers,93,297,31
UVALDE,Kesha Rogers,330,1515,22
VAL VERDE,Kesha Rogers,1022,5113,20
VAN ZANDT,Kesha Rogers,109,432,25
VICTORIA,Kesha Rogers,225,1273,18
WALKER,Kesha Rogers,163,714,23
WALLER,Kesha Rogers,269,785,34
WARD,Kesha Rogers,127,483,26
WASHINGTON,Kesha Rogers,70,334,21
WEBB,Kesha Rogers,4321,21962,20
WHARTON,Kesha Rogers,91,431,21
WHEELER,Kesha Rogers,9,36,25
WICHITA,Kesha Rogers,264,1198,22
WILBARGER,Kesha Rogers,109,425,26
WILLACY,Kesha Rogers,435,2334,19
WILLIAMSON,Kesha Rogers,1277,6680,19
WILSON,Kesha Rogers,174,1116,16
WINKLER,Kesha Rogers,7,23,30
WISE,Kesha Rogers,118,575,21
WOOD,Kesha Rogers,93,385,24
YOAKUM,Kesha Rogers,0,0,0
YOUNG,Kesha Rogers,36,144,25
ZAPATA,Kesha Rogers,164,1458,11
ZAVALA,Kesha Rogers,205,1158,18
ANDERSON,Wendy Davis,627,685,92
ANDREWS,Wendy Davis,51,72,71
ANGELINA,Wendy Davis,789,907,87
ARANSAS,Wendy Davis,278,312,89
ARCHER,Wendy Davis,54,59,92
ARMSTRONG,Wendy Davis,0,0,0
ATASCOSA,Wendy Davis,537,832,65
AUSTIN,Wendy Davis,158,178,89
BAILEY,Wendy Davis,26,38,68
BANDERA,Wendy Davis,229,243,94
BASTROP,Wendy Davis,1613,1754,92
BAYLOR,Wendy Davis,22,32,69
BEE,Wendy Davis,420,1143,37
BELL,Wendy Davis,2319,2617,89
BEXAR,Wendy Davis,35578,41664,85
BLANCO,Wendy Davis,159,166,96
BORDEN,Wendy Davis,0,0,0
BOSQUE,Wendy Davis,243,271,90
BOWIE,Wendy Davis,260,300,87
BRAZORIA,Wendy Davis,2601,2839,92
BRAZOS,Wendy Davis,1734,1926,90
BREWSTER,Wendy Davis,841,1318,64
BRISCOE,Wendy Davis,17,20,85
BROOKS,Wendy Davis,552,1594,35
BROWN,Wendy Davis,180,208,87
BURLESON,Wendy Davis,202,229,88
BURNET,Wendy Davis,458,486,94
